"x","Sales","CompPrice","Income","Advertising","Population","Price","ShelveLoc","Age","Education","Urban","US","High"
"1","9.5","138","73","11","276","120","Bad","42","17","Yes","Yes","Yes"
"2","11.22","111","48","16","260","83","Good","65","10","Yes","Yes","Yes"
"3","10.06","113","35","10","269","80","Medium","59","12","Yes","Yes","Yes"
"4","7.4","117","100","4","466","97","Medium","55","14","Yes","Yes","No"
"5","4.15","141","64","3","340","128","Bad","38","13","Yes","No","No"
"6","10.81","124","113","13","501","72","Bad","78","16","No","Yes","Yes"
"7","6.63","115","105","0","45","108","Medium","71","15","Yes","No","No"
"8","11.85","136","81","15","425","120","Good","67","10","Yes","Yes","Yes"
"9","6.54","132","110","0","108","124","Medium","76","10","No","No","No"
"10","4.69","132","113","0","131","124","Medium","76","17","No","Yes","No"
"11","9.01","121","78","9","150","100","Bad","26","10","No","Yes","Yes"
"12","11.96","117","94","4","503","94","Good","50","13","Yes","Yes","Yes"
"13","3.98","122","35","2","393","136","Medium","62","18","Yes","No","No"
"14","10.96","115","28","11","29","86","Good","53","18","Yes","Yes","Yes"
"15","11.17","107","117","11","148","118","Good","52","18","Yes","Yes","Yes"
"16","8.71","149","95","5","400","144","Medium","76","18","No","No","Yes"
"17","7.58","118","32","0","284","110","Good","63","13","Yes","No","No"
"18","12.29","147","74","13","251","131","Good","52","10","Yes","Yes","Yes"
"19","13.91","110","110","0","408","68","Good","46","17","No","Yes","Yes"
"20","8.73","129","76","16","58","121","Medium","69","12","Yes","Yes","Yes"
"21","6.41","125","90","2","367","131","Medium","35","18","Yes","Yes","No"
"22","12.13","134","29","12","239","109","Good","62","18","No","Yes","Yes"
"23","5.08","128","46","6","497","138","Medium","42","13","Yes","No","No"
"24","5.87","121","31","0","292","109","Medium","79","10","Yes","No","No"
"25","10.14","145","119","16","294","113","Bad","42","12","Yes","Yes","Yes"
"26","14.9","139","32","0","176","82","Good","54","11","No","No","Yes"
"27","8.33","107","115","11","496","131","Good","50","11","No","Yes","Yes"
"28","5.27","98","118","0","19","107","Medium","64","17","Yes","No","No"
"29","2.99","103","74","0","359","97","Bad","55","11","Yes","Yes","No"
"30","7.81","104","99","15","226","102","Bad","58","17","Yes","Yes","No"
"31","13.55","125","94","0","447","89","Good","30","12","Yes","No","Yes"
"32","8.25","136","58","16","241","131","Medium","44","18","Yes","Yes","Yes"
"33","6.2","107","32","12","236","137","Good","64","10","No","Yes","No"
"34","8.77","114","38","13","317","128","Good","50","16","Yes","Yes","Yes"
"35","2.67","115","54","0","406","128","Medium","42","17","Yes","Yes","No"
"36","11.07","131","84","11","29","96","Medium","44","17","No","Yes","Yes"
"37","8.89","122","76","0","270","100","Good","60","18","No","No","Yes"
"38","4.95","121","41","5","412","110","Medium","54","10","Yes","Yes","No"
"39","6.59","109","73","0","454","102","Medium","65","15","Yes","No","No"
"40","3.24","130","60","0","144","138","Bad","38","10","No","No","No"
"41","2.07","119","98","0","18","126","Bad","73","17","No","No","No"
"42","7.96","157","53","0","403","124","Bad","58","16","Yes","No","No"
"43","10.43","77","69","0","25","24","Medium","50","18","Yes","No","Yes"
"44","4.12","123","42","11","16","134","Medium","59","13","Yes","Yes","No"
"45","4.16","85","79","6","325","95","Medium","69","13","Yes","Yes","No"
"46","4.56","141","63","0","168","135","Bad","44","12","Yes","Yes","No"
"47","12.44","127","90","14","16","70","Medium","48","15","No","Yes","Yes"
"48","4.38","126","98","0","173","108","Bad","55","16","Yes","No","No"
"49","3.91","116","52","0","349","98","Bad","69","18","Yes","No","No"
"50","10.61","157","93","0","51","149","Good","32","17","Yes","No","Yes"
"51","1.42","99","32","18","341","108","Bad","80","16","Yes","Yes","No"
"52","4.42","121","90","0","150","108","Bad","75","16","Yes","No","No"
"53","7.91","153","40","3","112","129","Bad","39","18","Yes","Yes","No"
"54","6.92","109","64","13","39","119","Medium","61","17","Yes","Yes","No"
"55","4.9","134","103","13","25","144","Medium","76","17","No","Yes","No"
"56","6.85","143","81","5","60","154","Medium","61","18","Yes","Yes","No"
"57","11.91","133","82","0","54","84","Medium","50","17","Yes","No","Yes"
"58","0.91","93","91","0","22","117","Bad","75","11","Yes","No","No"
"59","5.42","103","93","15","188","103","Bad","74","16","Yes","Yes","No"
"60","5.21","118","71","4","148","114","Medium","80","13","Yes","No","No"
